48,Canada,Yes,Some University,Other,10 (All my time),1 (None at all),7,3,1 (None at all),1 (None at all),0.0,No,2.0,3-5,Yes,No formal methodology,No,0.0,University,,Mechanical engineering,Co-op/intern,No,No,No,,Yes,,No,,,Always,,Never,"Time-Management
How to research
Organization","Time-Management
How to research
Organization","Atom
BitBucket
Linux",GNU/Linux,GNU/Linux,"Python
C++",No,,No,,Yes,Yes,I'm not familiar with CAF
49,Canada,Yes,Doctorate,Chemical engineering,7,5,4,5,2,4,16.0,Yes,3.0,2,No,No formal methodology,No,0.0,University,Assistant Professor,Chemical engineering,Full-time,No,No,Yes,Yes,Yes,Yes,No,Yes,,Sometimes,GitHub,Never,"1) Logical thinking
2) Good understanding of the topic at hand
3) Good programming skills","1) Philosophy of software development
2) Version control","NetBeans
MatLab",Windows,Windows,"JAVA
MatLab
VBA
TI-83+ (and newer equivalents) Basic",No,,No,,Yes,No,No
50,Canada,No,Doctorate,Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Canada,Yes,Masters Degree,Information technology,3,1 (None at all),10 (All my time),1 (None at all),7,1 (None at all),16.0,Yes,10.0,10+,Yes,Other,Yes,2.0,Non-profit,Directeur R-D,Information technology,Full-time,Yes,,,,Yes,Yes,No,Yes,,Always,https://github.com/crim-ca/,Never,"- Très bonne capacité d'abstraction d'un problème
- Capacité d'appropriation rapide des nouvelles technologies
- Bonne capacité d'adaption aux meilleurs solutions pour résoudre un problème
-","- Intelligence artificielle
- Meilleure vision architecturale
- Programmation python",,,,,,,,,,,
52,Canada,Yes,Masters Degree,Information technology,3,3,8,2,3,1 (None at all),42.0,No,5.0,2,Yes,Other,Yes,2.0,Non-profit,Directeur et conseiller sénior,Artificial intelligence,Full-time,Yes,,,,Yes,No,No,No,,Very Often,"GitHub, SourceForge",Never,"Programmation scripts et shells (Python, R, Matlab, bash, etc.),  outils calcul distribué, bonne base en mathémathiques","Tensorflow,  clouds commerciaux,  Torch","Jupyter+Python, shell scripts, Edward",GNU/Linux,GNU/Linux,"Python, bash, C++, Perl",Yes,Software,Yes,Yes,No,Yes,No
53,Canada,Yes,Bachelors Degree,Chemical engineering,5,5,8,3,1 (None at all),1 (None at all),5.0,No,2.0,3-5,No,Scrum,No,,University,Graduate Student,Fuel and energy technology,Grad student,No,No,,,Yes,Yes,Yes,Yes,"Gordon Research Seminar (2015), Gordon Research Conference (2015), 228th ECS Meeting (2014)",Always,"https://github.com/OpenFCST/OpenFCSTv03
https://github.com/OpenFCST/OpenFCST_v0.2",,"Team work,
Coding ethics,
Knowledge of version control","Learn languages such as JAVA,
Knowledge of different testing platforms,
Advanced Object Oriented Concepts introduced with the new versions of C++","Integrated Development Environment,
Debugger usually Valgrind
Markup syntax",GNU/Linux,GNU/Linux,"C++, Python",No,,No,,Yes,Yes,I'm not familiar with CAF
54,Canada,Yes,Masters Degree,Artificial intelligence,7,5,5,4,3,3,5.0,Yes,3.0,2,No,No formal methodology,No,0.0,Other,it's complicated,Robotics,Other,No,No,Yes,Yes,Yes,Yes,No,Yes,,Always,"Github, Bitbucket, Docker Hub",Never,"Multi-platform flexibility
Rapid prototyping abilities
Quick assimilation of big project structures","Better knowledge of modern scripting languages (Python, ...)","Docker
Git
CMake",GNU/Linux,,"C++, Cuda, GLSL",Yes,External System,Yes,No,Yes,Yes,I'm not familiar with CAF
55,Canada,Yes,Doctorate,Life sciences research related to human health and disease,3,9,9,10 (All my time),8,9,10.0,Yes,30.0,10+,Yes,Scrum,Yes,50.0,Non-profit,CEO,Biomedical engineering,Full-time,Yes,,,,Yes,Yes,Yes,Yes,,Very Often,"agjkhjk

hjtjhashasejrg
ajgjgg;hesuegugi",Always,Qualification related project results,Improve the technical level of scientific research,Drawing calculation registration,GNU/Linux,GNU/Linux,jekarj  l r eklr  ergklgre,Yes,Software,Yes,Yes,Yes,Yes,Yes
56,Canada,Yes,Doctorate,Biomedical engineering,2,3,5,5,2,3,15.0,No,3.0,3-5,No,No formal methodology,Yes,0.0,University,Professor,Other,Full-time,No,No,,,Yes,Yes,No,Yes,"Human Brain Mapping
Brainhack
HPCS",Always,"https://github.com/SIMEXP/niak
https://github.com/SIMEXP/psom
https://github.com/SIMEXP/brainsprite.js",Sometimes,"domain-specific knowledge (e.g. neuroscience to develop neuroscience-related software)
testing/debuging
writing good documentation","management/growth of an open source project
user testing
scientific visualization libraries (javascript)","Octave
github
circle CI",GNU/Linux,GNU/Linux,"Octave
javascript
python",Yes,External System,Yes,Yes,Yes,No,I'm not familiar with CAF
57,Canada,Yes,Masters Degree,Information technology,5,5,3,3,2,3,10.0,Yes,8.0,3-5,Yes,No formal methodology,No,,Private sector,IT Lead Team,Information technology,Full-time,Yes,,,,Yes,Yes,No,No,,Sometimes,,Never,"hard working , innovative and a team worker",N/a,,GNU/Linux,iOS,,No,,Yes,Yes,No,No,No
58,Canada,Yes,Doctorate,Physics,2,3,1 (None at all),1 (None at all),9,1 (None at all),20.0,No,0.0,3-5,Yes,Waterfall,Yes,0.0,Non-profit,Directeur scientifique,Information technology,Full-time,Yes,,,,Yes,No,No,Yes,Computer Vision & Pattern Recognition,Sometimes,,,"Rigueur, Bonne pratique, Rédaction",,,Windows,Windows,C++,Yes,External System,Yes,,,Yes,I'm not familiar with CAF
59,Canada,Yes,Bachelors Degree,Information technology,8,4,8,3,2,3,2.0,Yes,1.0,Just me,Yes,No formal methodology,No,0.0,Non-profit,Software Developer,Information technology,Full-time,No,No,,,No,,,,,Never,,Never,,,,,,,,,,,,,
60,Canada,Yes,Doctorate,Electrical and electronic engineering,3,8,6,2,1 (None at all),2,25.0,No,1.0,Just me,No,,No,0.0,Non-profit,Senior Researcher,Artificial intelligence,Full-time,No,,,,Yes,Yes,Yes,Yes,,Never,,Never,"Understanding the research objective.

Modularity for future enhancement","Keeping up with the current state-of-the-art.

Better understanding of the open source software tools available for research","1. Kaldi toolkit
2. perl
3. Need to improve my python skills",GNU/Linux,Other,"1. Pearl
2. C / C++",,,No,,No,,I'm not familiar with CAF
61,Canada,Yes,Doctorate,Other,5,5,5,5,2,2,8.0,No,5.0,2,No,No formal methodology,No,0.0,University,High performance computing consultant,Other,Part-time,Yes,,,,Yes,Yes,No,Yes,"SC 15, IPDPS, ICS",,,Sometimes,"Communication, research skills, programming ability","Time management,","GCC, git, MPI",GNU/Linux,GNU/Linux,"C++,c, python",No,,No,,Yes,No,I'm not familiar with CAF
63,Canada,Yes,Doctorate,Other,2,5,7,3,5,5,20.0,Yes,1.0,2,No,No formal methodology,No,,University,Professor,Other,Full-time,No,Yes,,,No,,Yes,Yes,,,,,"Versatile
Knowledge of research
Good practices",,"open source components
papers describing such components
online documentation",,Other,"C/C++, Java",No,,No,,,No,I'm not familiar with CAF
65,Canada,Yes,College Diploma,Other,7,1 (None at all),10 (All my time),3,2,3,5.0,Yes,4.0,3-5,Yes,Kanban,No,,Other,programmeur,Other,Full-time,No,,,,No,No,No,No,,Often,github,Never,"curiosité, capacité d'abstraction","patience, rigueur","git, jetbrains ides, stack overflow",GNU/Linux,GNU/Linux,javascript,,,Yes,No,Yes,,I'm not familiar with CAF
67,Canada,Yes,College Diploma,Other,2,1 (None at all),2,2,2,2,41.0,Yes,5.0,3-5,Yes,No formal methodology,Yes,4.0,University,,Physics,Contract,No,Yes,,,Yes,Yes,No,Yes,"OpenStack developers conference (Paris, Portland, Vancouver)",Always,Github,Never,"lateral-thinking, tenacity, good listener, flexibility (I know, that is four).",anything that helps.,"OpenStack, git, Linux utilities",GNU/Linux,GNU/Linux,"python, c++, bash, c, perl,",Yes,Software,No,,,Yes,No
68,Canada,Yes,Doctorate,Other,2,3,6,6,8,2,30.0,No,5.0,Just me,No,No formal methodology,Yes,0.0,Non-profit,CTO,Other,Full-time,Yes,,,,No,Yes,No,No,,Always,,Never,"Listening
Coding
Testing",DevOps,"emacs
google",GNU/Linux,GNU/Linux,"Perl
Python
C/C++",Yes,External System,Yes,No,No,Yes,No
69,Canada,Yes,Bachelors Degree,Other,5,5,7,5,2,2,5.0,No,2.0,2,No,No formal methodology,No,,Government department,Computational Biologist,Genetics,Full-time,Yes,,,,No,,,,,,,,"Critical thinking, organizational skills and problem solving","More problem solving, more experience and more time","Eclipse
Mobaexterm
SVN",Windows,Windows,"Java
SQL",No,,No,,Yes,No,I'm not familiar with CAF
70,Canada,Yes,Some University,Other,2,4,7,3,1 (None at all),4,3.0,No,2.0,3-5,No,No formal methodology,No,0.0,Non-profit,Coop student,Other,Co-op/intern,No,,,,Yes,Yes,Yes,Yes,,Very Often,"Github, Bitbucket",Never,,,,GNU/Linux,GNU/Linux,"Python, C++, Perl",Yes,Software,No,,Yes,Yes,I'm not familiar with CAF
71,Canada,Yes,Doctorate,Microbiology,5,2,8,2,1 (None at all),3,15.0,No,4.0,Just me,Yes,No formal methodology,No,0.0,Non-profit,computational biologist,Life sciences research related to human health and disease,Full-time,Yes,,,,Yes,Yes,No,Yes,,Never,bcgsc/mirna,Never,"Ability to google intelligently
Ability to understand the utility of a software package in the context of the research area
Ability to read and modify other's code","Unit testing
Machine learning
Non-sql database skills","google
pycharm
svn",GNU/Linux,GNU/Linux,"R
bash
python
perl",No,,No,,Yes,Yes,I'm not familiar with CAF
72,Canada,Yes,Bachelors Degree,Genetics,4,1 (None at all),5,5,7,2,22.0,Yes,9.0,2,Yes,Other,No,0.0,Non-profit,Project Manager IT/Systems,Genetics,Full-time,Yes,,,,No,No,No,No,Don't remember any more,Often,GitHub,Never,"Interpersonal Communications
Analysis of a problem
Technical Language Proficiency","Software Security
More C++
R","Sublime Text
MobaXTerm
Git",Windows,GNU/Linux,"Python
PHP
Javascript
C",Yes,External System,Yes,No,Yes,Yes,No
73,Canada,Yes,Bachelors Degree,Molecular biology,8,5,3,4,1 (None at all),5,3.0,Yes,4.0,2,Yes,No formal methodology,No,0.0,Non-profit,Computational Biologist,Other,Full-time,No,,,,Yes,Yes,Yes,No,,Sometimes,,,"Problem solving
Communication
Programming",,"Kouchat
Bash
Sun-grid Engine",Windows,GNU/Linux,"Bash, python, perl",No,,No,,,,I'm not familiar with CAF
74,Canada,No,Masters Degree,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Canada,Yes,Doctorate,Biochemistry,9,1 (None at all),5,5,3,2,5.0,Yes,5.0,Just me,No,No formal methodology,No,0.0,Charity,Computational biologist,Health Sciences,Full-time,Yes,,,,No,No,No,No,,Always,Github,Never,"Logic thinking, problem solving, communication",,"Bitbucket, JIRA, github",Mac OS,GNU/Linux,"Python, MatLab, R, Perl, Java",Yes,External System,Yes,No,Yes,Yes,I'm not familiar with CAF
76,Canada,Yes,Doctorate,Information technology,3,5,6,2,2,1 (None at all),,No,,Just me,,Kanban,No,2.0,,,Physical geography,Part-time,No,No,Yes,,Yes,No,Yes,Yes,,Very Often,github,Never,,,,,iOS,,Yes,External System,No,,No,No,Yes
77,Canada,Yes,Some University,Mining and mineral processing,7,5,2,1 (None at all),8,8,,Yes,,2,,No formal methodology,No,,College,,Polymer chemistry,Grad student,Yes,,,,No,Yes,No,,,Sometimes,,Never,,,,Mac OS,Mac OS,,No,,No,,Yes,No,I'm not familiar with CAF
78,Canada,Yes,Doctorate,Artificial intelligence,4,6,5,2,3,5,20.0,No,2.0,2,No,No formal methodology,No,0.0,University,,Other,Full-time,No,Yes,,,Yes,Yes,No,Yes,,Always,"GitHub
Home web site",Never,"Problem solving
Coding skills
Trouble-shouting",,"Programmatically accessible public databases (NCBI, Ensemble, etc)
Various bioinformatics tools",Mac OS,GNU/Linux,"R / Bioconductor
Python",No,,Yes,No,,,I'm not familiar with CAF
79,Canada,Yes,Masters Degree,Industrial engineering,7,10 (All my time),5,1 (None at all),1 (None at all),1 (None at all),3.0,No,1.0,Just me,No,No formal methodology,No,0.0,University,PhD student,Applied mathematics,Full-time,No,No,No,,Yes,Yes,Yes,Yes,,Always,,Never,"- Python
- Hadoop/map reduce
- parrallelism",- parallelism,"- Matlab
- R
- Python",Mac OS,Windows,- Matlab,No,,No,,Yes,No,No
80,Canada,Yes,Masters Degree,Nuclear engineering,8,2,6,1 (None at all),7,5,7.0,No,,3-5,Yes,No formal methodology,No,1.0,Non-profit,Researcher,,Contract,Yes,,,,Yes,No,Yes,No,,Very Often,"GitHub , CSV",Sometimes,"Business Analysis
Devops",Business Analysis,,,Windows,,No,,No,,No,No,Yes
81,Canada,Yes,Doctorate,Fluid mechanics,5,3,5,5,1 (None at all),2,,No,1.0,Just me,No,No formal methodology,No,,University,Associé de recherche,Applied mathematics,Other,No,,,,Yes,No,,Yes,,Always,"Softpedia, Sourceforge",Never,,,,,,,,,,,,,
82,Canada,Yes,Doctorate,Applied mathematics,2,8,3,7,4,4,18.0,No,2.0,3-5,No,No formal methodology,No,0.0,University,Professeur agrégé,Applied mathematics,Full-time,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Voir ma liste de présentations en bas de cette page:
https://www.gerad.ca/Sebastien.Le.Digabel/Publications/",Always,,Never,"1. Fort niveau en mathématiques.
2. Bon niveau de génie logiciel.
3. Rigueur",,"LaTeX
C++
Emails",Mac OS,Mac OS,"C++
Matlab",No,,,,Yes,Yes,I'm not familiar with CAF
83,Canada,Yes,Masters Degree,Applied mathematics,5,10 (All my time),9,2,1 (None at all),1 (None at all),20.0,Yes,1.0,2,No,No formal methodology,No,0.0,University,Associate Researcher,Applied mathematics,Full-time,No,,,,,Yes,No,,,Always,,Never,"Good knowledge of at least one mainstream programming language (ex. C++, python, Java).
Good understanding of the theory and algorithms that are implemented by the software (ex. if the software solves some type of problems, understand how the problem is modelized, and what do the algorithms do to solve it).
Organized well enough to be able to support the software users, get their comments and issues, answer users as much as possible, implement changes that are useful to the users/clients, be able to prioritize code changes.","Git/GitHub/Website management. Ex. how to put our work on GitHub and still require users to fill a form when they want to download the software.
Team leadership / Managing a small team.
Efficiency at work - Get things done faster. Time Management.","g++
git
LaTeX",GNU/Linux,GNU/Linux,"C++
python
bash",No,,No,,Yes,Yes,No
84,Canada,No,Doctorate,Health Sciences,1 (None at all),7,3,1 (None at all),3,2,0.0,No,1.0,2,Yes,No formal methodology,No,0.0,University,Associate Dean for Research,Health Sciences,Full-time,Yes,,,,No,Yes,No,Yes,,Never,,Never,Creativity,,Java,Mac OS,iOS,,Yes,External System,No,,No,No,No
85,Canada,Yes,Doctorate,Biomedical engineering,2,5,5,3,6,4,15.0,No,5.0,3-5,No,No formal methodology,Yes,0.0,University,Associate Professor,Biomedical engineering,Full-time,No,Yes,,,Yes,Yes,No,Yes,"Canadian High Performance Computing, CASCON, CMBEC",Very Often,"GitHub, SourceForge",Never,"Algorithm design, high performance computing, testing","Leveraging GPGPU, leveraging AWS, web interface programming","IDE (various), MATLAB, MobaXterm",GNU/Linux,GNU/Linux,"MATLAB, PHP, PERL, C++, Python, Java",No,,No,,,Yes,No
86,Canada,Yes,Doctorate,Evolution and ecology,9,3,5,5,2,,15.0,Yes,6.0,2,No,No formal methodology,Yes,0.0,Non-profit,Software Developer,,Contract,Yes,,,,Yes,Yes,No,Yes,"Evolution, iEvoBio",Always,GitHub,Always,"understanding the user experience of researchers
ability to understand, maintain, and refactor others' code
ability to document well","how to manage groups
creating products/projects from the ground up
testing","JetBrains IntelliJ
BBEdit
Git/Github",Mac OS,GNU/Linux,"Java, Python, Perl",Yes,External System,Yes,Yes,Yes,Yes,I'm not familiar with CAF
87,Canada,Yes,Masters Degree,Earth science,6,4,6,3,4,3,6.0,No,2.0,Just me,No,No formal methodology,No,0.0,University,PhD Candidate,Earth science,Grad student,No,Yes,,,Yes,Yes,No,Yes,,Never,,Never,"translate problems / formulas into code
understand complexity of real world and simplify problems for numerical modelling
data management","visualisation
big data analysis
machine learning","matlab
stackoverflow
git",GNU/Linux,GNU/Linux,"matlab
python
linux shell",Yes,External System,No,,Yes,No,No
88,Canada,Yes,Bachelors Degree,Genetics,3,3,8,2,6,4,16.0,No,2.0,2,Yes,No formal methodology,No,0.0,Private sector,Technical Marketing Manager,Industrial engineering,Full-time,No,No,,,No,Yes,No,Yes,,Very Often,,Never,"Organizational skills
Communication skills
Algorithmic clarity",Better understanding of certain algorithms,"Knime/R
Eclipse 
Python",Windows,Other,"C
Python",Yes,Software,No,,Yes,No,No
89,Canada,Yes,Some University,Space science,6,7,4,8,5,5,,No,2.0,3-5,No,,No,,University,,Statistics and probability,Contract,No,No,Yes,No,Yes,No,,No,,Never,,Very Often,,,,,iOS,,No,,Yes,No,Yes,No,Yes
90,Canada,No,Doctorate,Information technology,3,6,9,2,4,4,15.0,No,4.0,,,,Yes,2.0,University,full Professor,Information technology,Full-time,,,,,Yes,,No,Yes,"IEEE CLOUD, ACM ICPE, IEEE ClodCom etc.",Often,,,Solid technical expertise; Ability to communicate effectively; work in a timely manner,,"GitHub, Amazon WS",GNU/Linux,GNU/Linux,"Java, C, Python",Yes,,,,,Yes,
91,Canada,Yes,Doctorate,Physical geography,3,4,7,5,6,8,,No,,Just me,No,No formal methodology,Yes,,Private sector,,Fuel and energy technology,Self-employed,No,Yes,,,Yes,Yes,,No,,Sometimes,,Very Often,,,,,Windows,,No,,No,,Yes,Yes,No
92,Canada,Yes,Masters Degree,Information technology,3,7,3,5,2,5,10.0,No,10.0,Just me,No,No formal methodology,No,0.0,Non-profit,Process Development Coordinator,Genetics,Full-time,Yes,,,,Yes,Yes,Yes,Yes,,Always,,Sometimes,"critical thinking
initiative
speed",,"google
bash
matlab",GNU/Linux,GNU/Linux,"bash
matlab
python
perl",No,,No,,No,Yes,I'm not familiar with CAF
93,Canada,Yes,Bachelors Degree,Other,5,1 (None at all),7,3,1 (None at all),5,15.0,Yes,3.0,3-5,No,,No,0.0,University,Systems Administrator,Information technology,Full-time,No,,,,Yes,No,No,No,Society for American Archaeology,Always,github,Never,people skills and project management,more time (time travel?),"git
web browser
vi",GNU/Linux,GNU/Linux,php python perl r,No,,No,,No,Yes,No
94,Canada,Yes,Bachelors Degree,Biochemistry,2,10 (All my time),9,2,2,7,4.0,No,2.0,3-5,Yes,,No,,Non-profit,computational biologist,Genetics,Full-time,Yes,,,,No,Yes,No,Yes,,Always,,,,,,GNU/Linux,GNU/Linux,,Yes,External System,Yes,,No,No,I'm not familiar with CAF
95,Canada,Yes,Doctorate,Physics,3,2,3,2,4,,18.0,Yes,3.0,Just me,No,No formal methodology,No,0.0,University,Applicants Analyst,,Full-time,Yes,,,,Yes,Yes,No,No,,Always,github,Never,"User-minded
Pragmatic
Diligent","Containers
Project management","emacs
make
git",GNU/Linux,GNU/Linux,"C++,  Python, bash, fortran, R, cuda",Yes,Software,No,,Yes,Yes,No
96,Canada,Yes,Doctorate,Physical chemistry,3,8,6,3,1 (None at all),2,47.0,No,5.0,Just me,No,No formal methodology,No,0.0,University,Professor,Animal biology,Full-time,No,,,,Yes,Yes,Yes,No,Many - the software is often part of the research project,Never,,Never,,,Microsoft Visual Studio,Windows,Windows,C++,No,,No,,,Yes,No
97,Canada,Yes,Doctorate,Astronomy and astrophysics,2,5,2,2,3,5,18.0,No,3.0,Just me,No,No formal methodology,No,0.0,University,Assistant Professor,Astronomy and astrophysics,Full-time,No,No,Yes,No,Yes,Yes,No,Yes,,Sometimes,GitHub,Never,"Communications, flexibility, experience","High Performance Computing, GPU usage, more object-oriented programming experience","Stack Overflow, General internet search, emacs",GNU/Linux,GNU/Linux,"Python, IDL, Perl, C, Fortran",No,,No,,No,Yes,I'm not familiar with CAF
98,Canada,Yes,Bachelors Degree,Other,5,2,7,2,2,3,8.0,Yes,5.0,Just me,No,Kanban,Yes,2.0,University,Research Associate,Geoghraphical information,Full-time,Yes,,,,Yes,Yes,No,Yes,"Boreal Ecosystem Recovery and Assessment Stakeholder Workshop 2016
Canadian Institute of Forestry SEISMIC LINE RESTORATION TECHNICAL SESSION 2016
TECTERRA Geomatics Showcase 2015",Very Often,"GitHub
BitBucket",Never,"- Willingness to research and develop outside one's technical comfort zone
- Ability to engage and understand stakeholders and collaborate on their needs
- Knowing when to adopt and existing solution or write your own","- Project budgeting/planning
- Familiarity with more programming language paradigms
- Writing more fault-tolerant code that handles errors/unknowns","- Git
- Google
- Terminal",Mac OS,GNU/Linux,"- JavaScript
- Ruby
- Python
- PHP
- C",Yes,Software,Yes,No,Yes,Yes,No
99,Canada,Yes,Doctorate,Physics,3,4,2,2,2,2,25.0,No,2.0,Just me,No,No formal methodology,No,0.0,University,Full Professor,Physics,Full-time,No,No,Yes,Yes,Yes,Yes,No,Yes,"CANHEIT, CAP",Always,Moodle,Never,"Ability to code, think flexibly when debugging, work with others",the ability to make more time!,,GNU/Linux,GNU/Linux,C++ and Python,Yes,External System,No,,No,Yes,No
100,Canada,No,College Diploma,Information technology,7,1 (None at all),7,3,2,3,16.0,No,4.0,Just me,,Kanban,No,0.0,,,Information technology,Contract,No,,,,No,,,,,Very Often,,Never,,,,GNU/Linux,GNU/Linux,"Python, Julia, Clojure",,,,,,,
101,Canada,Yes,Doctorate,Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Canada,Yes,Masters Degree,Chemical engineering,9,2,9,4,,4,20.0,Yes,1.0,10+,Yes,No formal methodology,No,0.0,University,Professionnel de Recherche,Applied mathematics,Full-time,Yes,,,,No,Yes,No,No,HPCS,Never,aucun,Never,"- Capacité à mettre en place des tests de validations automatiques quotidiens sur les logiciels produits
- Savoir utiliser une large gamme d'outils pour gérer tout ce qui entoure un logiciel, ex: git, scripts, makefiles, code coverage
- Connaissance en CHP","- C++ 2011, 2014
- Python
- CMake","git, qtcreator, valgrind",GNU/Linux,GNU/Linux,C++,Yes,External System,No,,Yes,No,No
103,Canada,Yes,Doctorate,Other,4,3,4,3,5,3,20.0,No,2.0,2,No,No formal methodology,No,0.0,University,Associé de recherche,Chemical engineering,Contract,No,,,,Yes,Yes,Yes,Yes,,Never,,Never,"rudiment de génie logiciel
gestionnaire de version
programmation efficace (software carpentry)",rudiment de génie logiciel,Clusters de Calcul Québec,GNU/Linux,GNU/Linux,,Yes,External System,Yes,Yes,Yes,Yes,No
104,Canada,Yes,Masters Degree,Other,7,1 (None at all),5,3,2,2,10.0,Yes,4.0,10+,Yes,No formal methodology,Yes,0.0,University,Chef d'équipe,Artificial intelligence,Full-time,Yes,,,,Yes,Yes,No,No,"plein: GTC (plusieurs fois), Montreal deep learning summer school, autre summer schoold, NIPS, ...",Always,"GitHub, assembla, google code, sourceforge",Never,Bonne structure de code. Capacité à aidé et comprendre les besoins des utilisateur. Capacité de débogging/investigation des problèmes.,Meilleur anglais pour répondre sur les mailing list,"GitHub, travis, emacs",GNU/Linux,GNU/Linux,"Python, C++, CUDA",No,,No,,Yes,Yes,No
105,Canada,Yes,Doctorate,Hydrology,3,3,5,2,3,1 (None at all),12.0,No,2.0,3-5,Yes,Kanban,Yes,1.0,Non-profit,"Specialist, Climate scenarios and services",Earth science,Full-time,No,No,Yes,Yes,Yes,Yes,No,No,Earth System Grid Federation Face 2 Face 2016,Always,"Github, Google Code, BitBucket",Never,"Focus - easy to get carried away in the development of the tools and neglect the actual research it is made for. 
Communication - being able to attract a community around the software
Professionalism - writing clean, understandable, maintainable code","Software architecture
Deployment  on production machines
Project management","IPython
Github
Google",GNU/Linux,GNU/Linux,"Python
Javascript
Fortran",Yes,External System,Yes,,Yes,Yes,I'm not familiar with CAF
106,Canada,Yes,Masters Degree,Artificial intelligence,4,4,6,4,2,1 (None at all),3.0,Yes,4.0,3-5,Yes,No formal methodology,No,0.0,University,Deep Learning Analyst,Artificial intelligence,Full-time,,,,,Yes,Yes,No,,,Often,,Never,,,,GNU/Linux,GNU/Linux,"Python, C++",,,,,,Yes,I'm not familiar with CAF
107,Canada,No,Doctorate,Artificial intelligence,2,2,10 (All my time),1 (None at all),9,2,40.0,No,1.0,3-5,No,No formal methodology,Yes,,University,Professor,Artificial intelligence,Full-time,No,Yes,,,Yes,Yes,No,Yes,,Never,,Never,,,,GNU/Linux,GNU/Linux,C,No,,No,,No,No,No
108,Canada,Yes,Masters Degree,Mechanical engineering,7,2,6,4,3,2,20.0,Yes,2.0,6-9,Yes,Scrum,Yes,1.0,University,Scientiffic Computing Analyst,Genetics,Full-time,Yes,,,,Yes,Yes,No,Yes,High Performance Computing Symposium,Always,bitbucket,Never,"Organized
Flexible
Team work",,"PyCharm
Git
SQuirrel",GNU/Linux,GNU/Linux,"Pyhton
Javascript
SQL
BASH
PHP",Yes,External System,No,,No,Yes,No
109,Canada,Yes,Masters Degree,Artificial intelligence,4,3,2,1 (None at all),2,2,15.0,Yes,2.0,3-5,No,No formal methodology,No,,University,,Artificial intelligence,Full-time,Yes,,,,Yes,Yes,No,No,,Always,,Never,,,,Windows,GNU/Linux,,Yes,External System,,,No,Yes,I'm not familiar with CAF
110,Canada,Yes,Bachelors Degree,Information technology,5,1 (None at all),4,2,5,1 (None at all),10.0,Yes,5.0,3-5,No,No formal methodology,No,0.0,Non-profit,Assistant Director of Data Management,Animal biology,Full-time,Yes,,,,Yes,No,No,No,"2015 Symposium on Digital Earth, GLATOS, OTN Symposiums/workshops, US IOOS DMAC, various telemetry conferences in US and Europe",Always,gitlab.oceantrack.org,Often,,,"git
atom
Slack",Mac OS,,"Python
R
PostgreSQL
JavaScript
PHP
Matlab",Yes,Software,Yes,Yes,Yes,Yes,I'm not familiar with CAF
111,Canada,Yes,Doctorate,Information technology,3,6,8,2,2,4,20.0,No,4.0,3-5,No,Scrum,No,0.0,University,Associate Professor,Information technology,Full-time,Yes,,,,Yes,Yes,No,Yes,"SIGMOD, WebDB, VLDB, ICDE",Very Often,"GitHub, Bitbucket, Ualberta library",Very Often,Problem solving. Communication. Ability to develop scalable code.,"Software process management, continuos integration.","github, dbpedia, elasticsearch",GNU/Linux,GNU/Linux,"Java, Python, C, C++, C",Yes,External System,Yes,No,,Yes,No
112,Canada,Yes,Doctorate,Theoretical physics and chemistry,3,6,9,2,4,2,22.0,No,3.0,10+,No,Other,Yes,0.0,University,Professor; University Scholar; Canada Research Chair,Theoretical physics and chemistry,Full-time,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Too many to count, really -- about 3-4 per year.",Always,GitHub,Sometimes,"1. Numerical Algorithms/Algorithmic Thinking
2. Software Design Principles and Patterns
3. Language Knowledge","1. Language Knowledge (I know mostly semi-archaic Fortran 77/90/95/2003).
2. GPU/Parallel Programming
3. Improving my ability to think in an Object-Oriented Way","1. GitHub/Travis CI/Etc..
2. Python (and editors/tools like PyCharm, Jupyter)
3. Libraries like numpy, scipy, etc.",GNU/Linux,Other,"Python
C/C++
Fortran 90/95/2003
Assembler
bash/Perl",No,,No,,Yes,Yes,No
113,Canada,Yes,Doctorate,Physics,5,3,3,7,5,3,8.0,No,1.0,6-9,Yes,No formal methodology,No,0.0,University,Analyste informatique,Artificial intelligence,Full-time,Yes,,,,Yes,Yes,No,No,,Always,GitHub,Never,"Programmation en language haute performance (C, Fortran, python+numpy, ...)
Mathématique appliquée et méthodes numériques
Logiciel de contrôle des versions et gestion de code commun (git, SVN, ...)","Compilateurs et optimisation des programmes
Administration systèmes informatiques
Débuggeurs","Python
Github
SLURM",GNU/Linux,GNU/Linux,"Python
C
CUDA",No,,Yes,Yes,Yes,Yes,I'm not familiar with CAF
