Response ID,Date submitted,Last page,Start language,Date started,Date last action,In which country do you work?,In which country do you work? [Other],Do you write software for research as part of your job?,What is the highest level of education you have attained?,In which discipline is your highest academic qualification?,In which discipline is your highest academic qualification? [Other],"List any professional qualifications you hold (eg. P. Eng, PMP, …)","On average, how much of your time is spent developing software?","On average, how much of your time is spent on research?","On average, how much of the time you spend developing software is spent on new development/enhancement?","On average, how much of the time you spend developing software is devoted to maintenance and support activities?","On average, how much time do you spend on management?","On average, how much time do you spend on other activities?",How many years of software development experience do you have?,Do you consider yourself a professional software developer?,How many software projects are you currently involved in?,How many software developers typically work on your projects?,What percentage of these developers are dedicated to the project full time?,How are your projects typically tested?  [No formal testing],How are your projects typically tested?  [The developers do their own testing],How are your projects typically tested?  [Dedicated test engineers],How are your projects typically tested?  [User testing],Do your research software projects typically include a project manager?,What development methodology does your current project use?,What development methodology does your current project use? [Other],Have you ever visited the Research Software Registry at science.canarie.ca?,How many software components from science.canarie.ca have you integrated into your projects?,What type of organization do you work for?,What type of organization do you work for? [Other],What is your current job title?,In which application area do you primarily work?,In which application area do you primarily work? [Other],What is the nature of your current employment?,What is the nature of your current employment? [Other],Do you work within a group that provides software development help or expertise to researchers from across your organization?,Is there such a group within your organization?,Do you think such a group would have value?,Would you be interested in participating in such a group?,Have you contributed software to research that has been published in a journal or presented at a conference?,"In general, when your software contributes to a paper, are you acknowledged in that paper?",Are you generally named as the main author of the paper?,Are you generally named as a co-author of the paper?,Are you generally acknowledged in the main paper?,Have you ever presented your software work at a conference or workshop? ,Which conference(s)/workshop(s)?,"When you release code, how often do you use an open source license?",List any open repositories (eg. GitHub) to which your software projects have been published.,"When you release code or data, how often do you assign a Digital Object Identifier (DOI) to it?","In your opinion, what are the three most important skills that a Research Software Developer must possess? These skills can be technical and non-technical.",What three skills would you like to acquire or improve to help your work as a Research Software Developer? These skills can be technical and non-technical.,What are the three tools or services you use most often in your software work?,What is your Operating System of choice for development?,What is your Operating System of choice for development? [Other],What is your Operating System of choice for deployment?,What is your Operating System of choice for deployment? [Other],"What programming languages do you use in developing research software? Please list in order, beginning with most frequently used.",What platform(s) are your research software projects deployed on? [Compute Canada HPC],What platform(s) are your research software projects deployed on? [University computer centre],What platform(s) are your research software projects deployed on? [Other HPC],What platform(s) are your research software projects deployed on? [Cloud service],What platform(s) are your research software projects deployed on? [Stand-alone server(s)],What platform(s) are your research software projects deployed on? [Laptop/desktop],What platform(s) are your research software projects deployed on? [Mobile],What platform(s) are your research software projects deployed on? [Other],Do any of your current projects make use of a data management or data archiving component?,Is it part of your software or an external system? (please specify),Do any of your current projects accommodate the open/public sharing of data?,Is the creation of a Digital Object Identifier (DOI) and metadata for individual assets supported?,Are you a member of an association of Research Software Developers (e.g UK RSE)?,Would you be interested in joining such an organization if one was formed in Canada?,What would you hope to get out of such an organization? [Networking],What would you hope to get out of such an organization? [Software collaborations],What would you hope to get out of such an organization? [Research collaborations],What would you hope to get out of such an organization? [Training],What would you hope to get out of such an organization? [Research Software Standards and Interoperability],What would you hope to get out of such an organization? [Job opportunities],What would you hope to get out of such an organization? [Other],How is your current research software work funded? [Employer],How is your current research software work funded? [CANARIE],How is your current research software work funded? [Canadian Foundation for Innovation (CFI)],How is your current research software work funded? [Canadian Institutes of Health Research (CIHR)],How is your current research software work funded? [Genome Canada],How is your current research software work funded? [Natural Sciences and Engineering Research Council of Canada (NSERC)],How is your current research software work funded? [Social Sciences and Humanities Research Council (SSHRC)],How is your current research software work funded? [I don't know],How is your current research software work funded? [Other],Have you developed software that is accessed from multiple institutions?,Do any of your current or previous projects make use of the Canadian Access Federation (CAF) Federated Identity Management (FIM) service?,"List any public identity providers (e.g. Google, Facebook, Live, LinkedIn, Twitter, etc.) used in your current or previous projects.",
40,2017-02-28 14:21:28,13,en,2017-02-28 14:13:24,2017-02-28 14:21:28,Canada,,No,Doctorate,Other,Humanities,,3,9,3,3,5 (about half my time),2,20,No,4,3-5,50%,No,Yes,No,Yes,Yes,Other,Mixed,Yes,0,University,,Distinguished Professor,Social sciences and humanities,,Full-time,,No,Yes,,,Yes,Yes,No,Yes,Yes,Yes,"DH, CDSH/SCHN, MLA",5 (Always),,3,"Creative and structured thinking
disciplinary aptitude
pertinent technical skills",as above.,,Mac OS,,Mac OS,,"mostly, rapid prototyping languages at the moment.",Yes,Yes,No,No,No,Yes,No,,Yes,External System,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,No,Yes,No,No,No,Yes,No,,Yes,I'm not familiar with CAF,,
41,2017-02-28 17:01:45,13,fr,2017-02-28 14:13:56,2017-02-28 17:01:45,Canada,,Yes,Doctorate,Information technology,,Ing,4,4,8,2,2,2,21,Yes,5,3-5,25%,No,Yes,No,Yes,Yes,Scrum,,Yes,2,Non-profit,,Chercheur,Information technology,,Full-time,,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,"CONLL, ACFAS, COMPUTERM, TIA",5 (Always),Github,1 (Never),"Connaissance algorithmique
Test et validation logiciel
Capacité d'analyse",,"Eclipse
Code versioning
Continuous integration server",Windows,,GNU/Linux,,"Java, Scala, Python",No,No,Yes,Yes,Yes,No,No,,No,,No,,No,Yes,No,No,Yes,Yes,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,No,,Yes,No,,
42,2017-02-28 14:29:05,13,en,2017-02-28 14:14:30,2017-02-28 14:29:05,Canada,,Yes,Doctorate,Theoretical physics and chemistry,,,3,7,6,3,2,2,40,No,1,10+,25%,No,Yes,No,No,No,No formal methodology,,No,,University,,Professor of Chemistry,Theoretical physics and chemistry,,Full-time,,No,No,Yes,Yes,Yes,No,No,No,No,Yes,"Many. American Chemical Society, Canadian Society for Chemistry, CECAM workshops, deMon Developers Workshop, Topical conferences on multiscale simulations of materials and biomaterials.",1 (Never),,1 (Never),"translating physical equations into algorithms
coding
selection of front-line applications","project management
version-handling
herding cats",,GNU/Linux,,GNU/Linux,,"Fortran, Python, C++",Yes,Yes,No,No,No,Yes,No,,No,,No,,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,No,No,Yes,No,No,,No,I'm not familiar with CAF,,
43,2017-02-28 14:22:04,13,en,2017-02-28 14:14:57,2017-02-28 14:22:04,Canada,,No,Some College,Other,Dance,,10 (all my time),3,5 (about half my time),6,1 (never),2,10,Yes,5,3-5,75%,No,Yes,No,No,Yes,Kanban,,No,0,Other,Policial Party,Software Developer,Prefer not to answer,,Full-time,,No,No,No,,No,No,No,No,No,No,,4,"Github
BitBucket",1 (Never),Curiosity,"AI,Communications, Machine Learning","Git, Atom, Linux",GNU/Linux,,GNU/Linux,,"Ruby,JS",No,No,No,Yes,No,No,No,,No,,No,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,No,No,No,No,No,No,No,Yes,,No,No,,
44,2017-02-28 14:26:41,13,fr,2017-02-28 14:16:35,2017-02-28 14:26:41,Canada,,Yes,Masters Degree,Other,Bioinformatique,,4,2,6,2,2,2,5,No,4,Just me,0%,No,Yes,No,Yes,No,Kanban,,Yes,0,University,,professionnel de recherche,Other,Bioinformatique,Full-time,,No,No,No,,Yes,No,No,No,Yes,No,,5 (Always),Bioconductor,1 (Never),,,"Éditeur de texte
git
stackoverflow",GNU/Linux,,GNU/Linux,,"R, ruby (et RAILS), perl",No,No,No,No,Yes,Yes,No,,Yes,Software,Prefer not to answer,,No,Yes,Yes,No,No,Yes,Yes,Yes,,No,No,Yes,Yes,Yes,Yes,No,No,,Yes,I'm not familiar with CAF,,
46,2017-02-28 14:37:21,13,en,2017-02-28 14:23:47,2017-02-28 14:37:21,Canada,,Yes,Masters Degree,Molecular biology,,,7,3,5 (about half my time),3,2,3,12,No,4,Just me,75%,Yes,Yes,No,No,No,No formal methodology,,Yes,0,Government department,,Bioinformatics Programmer,Life sciences research related to human health and disease,,Full-time,,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,5 (Always),,1 (Never),"Big picture view
Ability to dissect user requirements
Agile development","Project management
Advanced algorithm development
Big data","Netbeans
Hibernate
Struts2",GNU/Linux,,GNU/Linux,,"Java
Perl
R",No,No,No,No,Yes,No,No,,Yes,External System,No,,No,Yes,Yes,No,Yes,Yes,No,No,,Yes,No,No,No,No,No,No,No,,No,I'm not familiar with CAF,,
47,2017-02-28 14:40:49,13,en,2017-02-28 14:31:30,2017-02-28 14:40:49,Canada,,Yes,Doctorate,Other,Systems,CEng,3,4,3,1 (never),3,2,20,No,2,3-5,0%,Yes,No,No,No,Yes,No formal methodology,,No,0,University,,Asst Prof,Other,Green buildings,Full-time,,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"GECCO
Building Simulation
CISBAT",5 (Always),GitHub,1 (Never),"Creative problem solving
Balancing time and reward
Persistance","Better programming knowledge
Better computer science knowledge
Better software development knowledge","Anaconda
Sublime",Windows,,Windows,,"Python
Matlab",Yes,No,No,No,Yes,Yes,No,,No,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,No,No,No,No,Yes,No,No,,Yes,I'm not familiar with CAF,,
48,2017-02-28 14:43:09,13,fr,2017-02-28 14:34:18,2017-02-28 14:43:09,Canada,,Yes,Masters Degree,Electrical and electronic engineering,,Ing,10 (all my time),1 (never),2,2,6,1 (never),17,Yes,2,6-9,25%,No,Yes,No,Yes,Yes,Kanban,,Yes,12,Non-profit,,Chargé de projets,Information technology,,Part-time,,Yes,,,,No,No,No,No,No,Yes,Plusieurs colloques et journées technos au CRIM. Canarie Summit.,5 (Always),GitHub,1 (Never),"Expertise
Minutie
Organisation","Leadership
Communication
Développement des affaires","Atlassian Suite
Google Docs",Mac OS,,GNU/Linux,,"JS
Scala",No,No,No,Yes,No,No,No,,Yes,Software,No,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,Yes,No,No,No,No,No,No,,Yes,No,"Google
Facebook
LinkedIn",
49,2017-02-28 14:42:06,13,en,2017-02-28 14:34:50,2017-02-28 14:42:06,Canada,,Yes,Doctorate,Astronomy and astrophysics,,,3,5 (about half my time),9,2,4,4,15,No,20,3-5,0%,Yes,Yes,No,Yes,No,No formal methodology,,Yes,0,University,,Associate Professor,Astronomy and astrophysics,,Full-time,,Yes,,,,Yes,Yes,No,Yes,Yes,Yes,Astronomical Data Analysis Software and Systems (ADASS),5 (Always),"GitHub, bitbucket",2,"Flexibility, Mathematical background, Initiative","Software Project Management, Testing structures, Time management","Git/github, OpenStack/AWS, Dockerhub",GNU/Linux,,GNU/Linux,,"Python, C++",Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Software,Yes,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,No,Yes,No,No,No,Yes,No,No,NSF,Yes,No,,
50,2017-02-28 14:43:17,13,en,2017-02-28 14:35:34,2017-02-28 14:43:17,Canada,,Yes,Masters Degree,Oceanography,,PMP,3,5 (about half my time),7,4,8,2,15,No,5,3-5,75%,No,Yes,Yes,Yes,Yes,Scrum,,Yes,0,Non-profit,,Data manager,Oceanography,,Full-time,,Yes,,,,Yes,Yes,No,Yes,Yes,No,,1 (Never),,1 (Never),"Understand field of research where software is needed (scientific skills)
Up to date knowledge of software development practises
Project management skills","Research current open source practises
Maintain current knowledge in technology
Update code skills in python","Matlab
Python and R on Jupyter
SQL developer",Mac OS,,Mac OS,,"Matlab, Python",No,No,No,No,Yes,Yes,No,,Yes,External System,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,No,No,,No,I'm not familiar with CAF,,
51,2017-02-28 14:41:43,13,en,2017-02-28 14:35:44,2017-02-28 14:41:43,Canada,,No,Masters Degree,Other,computer engineering,,1 (never),4,1 (never),1 (never),10 (all my time),5 (about half my time),0,No,0,2,100%,No,Yes,No,No,Yes,Other,Agile,Yes,0,Non-profit,,commercialization manager,Information technology,,Full-time,,Yes,,,,Yes,No,No,No,No,Yes,IRMACS - http://www.irmac.ca/events/list.php?event_id=108,Prefer not to answer,Github,Prefer not to answer,"Logic/Reasoning, Time Management and Documentation","Code-release, documentation, software release","Slack, Outlook and Powerpoint",Mac OS,,Mac OS,,"Java, C, C++",No,Yes,No,Yes,No,No,No,,Yes,Software,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,,Yes,I'm not familiar with CAF,"Google, Twitter, LinkedIn",
52,2017-02-28 14:59:54,13,en,2017-02-28 14:40:54,2017-02-28 14:59:54,Canada,,Yes,Doctorate,Applied mathematics,,P. Eng,8,8,8,2,2,3,56,Yes,8,6-9,75%,No,Yes,Yes,Yes,Yes,Other,agile,Yes,0,University,,Distinguished Professor Emeritus,Information technology,,Other,Retired but active,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,During my career I have been author or co-author of over 280 refereed publications and 17 books. My work has been presented at over 180 different conferences. The list is too long to present here.,2,GitHub,1 (Never),"Design
Project and people management
Coding","Statistics applied to Big Data
Better understanding of various types of database structures (Graph ...)","PHP
JavaScript
SQL databases",Windows,,Other,We develop for all these platforms,"JavaScript
Java
Objective C",No,No,No,Yes,No,No,No,,Yes,Software,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,No,No,No,No,No,Yes,Yes,No,private business,Yes,I'm not familiar with CAF,None,
53,2017-02-28 15:02:18,13,en,2017-02-28 14:42:05,2017-02-28 15:02:18,Canada,,No,Masters Degree,Earth science,,GIT,2,9,9,2,5 (about half my time),5 (about half my time),1,No,1,3-5,75%,No,Yes,No,Yes,Yes,No formal methodology,,Yes,0,University,,Project Manager,Geoghraphical information,,Full-time,,Yes,,,,No,Yes,Yes,Yes,Yes,Yes,AAG,1 (Never),N/A,1 (Never),"Time management
Interpersonal skills (user engagement and for meetings)
Programming","Programming
Technical communication
Market knowledge","Asana
Google Scholar
QGIS",Windows,,Windows,,Python,No,No,No,Yes,No,Yes,No,,Yes,External System,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,No,Yes,No,No,No,No,No,No,,Yes,Yes,"Google, Facebook, LinkedIn, Twitter",
54,2017-02-28 14:56:19,13,en,2017-02-28 14:49:07,2017-02-28 14:56:19,Canada,,Yes,Masters Degree,Electrical and electronic engineering,,,5 (about half my time),5 (about half my time),10 (all my time),1 (never),1 (never),1 (never),5,Yes,2,3-5,75%,No,Yes,No,Yes,No,No formal methodology,,Yes,0,University,,Software Developer,Health Sciences,,Full-time,,Yes,,,,Yes,Yes,No,No,No,No,,4,"GitHub
Bitbucket",1 (Never),"Discipline
Flexibility
Mastery of code","Discipline
Mastery of code
Focus","GitHub
Travis
Slack",GNU/Linux,,GNU/Linux,,"Ruby
Python
C++",Yes,No,No,No,No,Yes,No,,Yes,Software,Yes,Prefer not to answer,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,Yes,Yes,No,Yes,No,Yes,,Yes,I'm not familiar with CAF,We used the Mozilla one that was decommissioned late last year,
55,2017-02-28 15:08:59,13,en,2017-02-28 14:56:46,2017-02-28 15:08:59,Canada,,Yes,Masters Degree,Other,Biochemistry/Bioinformatics,,5 (about half my time),3,3,3,2,1 (never),15,Yes,4,3-5,50%,No,Yes,No,Yes,No,No formal methodology,,No,0,University,,Senior data analyst,Other,High throughput biological data analysis,Full-time,,Yes,,,,Yes,Yes,No,No,Yes,Yes,GLBIO,5 (Always),"Github
(sourceforge when it was still around but have migrated everything to github now)",1 (Never),"adaptability
good communication and organizational skills
strong statistics skills",,"cytoscape
eclipse
R studio",Mac OS,,Mac OS,,"Java
R
perl
bash (shell scripting)",No,No,No,No,No,Yes,No,,No,,No,,No,Yes,Yes,Yes,No,Yes,No,Yes,,Yes,No,No,No,No,No,No,No,,Yes,No,,
57,2017-02-28 15:42:50,13,en,2017-02-28 15:02:06,2017-02-28 15:42:50,Canada,,Yes,Bachelors Degree,Geoghraphical information,,,5 (about half my time),1 (never),9,2,5 (about half my time),2,21,Yes,1,3-5,75%,No,No,Yes,Yes,Yes,Scrum,,Yes,,University,,Web Services specialist,Oceanography,,Contract,,Yes,,,,Yes,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Yes,In previous position at ESRI User's Conference & Developer's Summit and at company user's conference.,Prefer not to answer,,1 (Never),"Communication
Knowledge of platform and data interoperability
Persistance","Improve my knowledge of the research our organization's scientists are involved in
Improve my knowledge of Agile development best practices
Improve my knowledge of IoT connectivity models","Python
SQL
JavaScript",Windows,,GNU/Linux,,"Python
SQL
JavaScript
MatLab",Yes,Yes,No,No,No,No,No,,Yes,External System,Yes,Prefer not to answer,No,Yes,Yes,Yes,No,No,Yes,No,,No,Yes,No,No,No,No,No,No,,Yes,I'm not familiar with CAF,,
58,,7,en,2017-02-28 15:06:05,2017-02-28 15:11:54,Canada,,Yes,Doctorate,Other,Systems Biology,NA,4,5 (about half my time),5 (about half my time),5 (about half my time),4,1 (never),8,No,5,2,0%,No,Yes,No,Yes,No,No formal methodology,,No,0,University,,Postdoc,Other,Systems Biology,Full-time,,Yes,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
59,2017-02-28 15:58:11,13,en,2017-02-28 15:17:56,2017-02-28 15:58:11,Canada,,Yes,Doctorate,Physical chemistry,,,3,6,10 (all my time),1 (never),5 (about half my time),2,10,No,6,3-5,75%,No,Yes,No,No,No,No formal methodology,,Yes,1,University,,Associate Professor,Physical chemistry,,Full-time,,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"A presentation I gave explicitly about a software development project I lead was presented at the High Performance Computing Symposium (HPCS) in Halifax NS, 2014.  I also present aspects of the algorithms that I (and my team) develop and integrate into software products at all of the conferences I attend, including recently the Canadian Chemistry Conference and Exhibition and Pacifichem.",5 (Always),bitbucket,2,"1. Problem-solving (obviously)
2. Ability to interact with both administrators (PIs) and end users
3. Broad knowledge base of existing solutions for leveraging","I would like to:
1. Expand my knowledge of languages.
2. Expand my knowledge of established development protocols (i.e. scrum, waterfall, etc.)
3. Expand my knowledge of dealing with large datasets (memory handling, code optimization, parallel computing, etc.)","Visual code editor
Concurrent versioning system",Mac OS,,Mac OS,,"Python
Java
PHP
Fortran
C",Yes,No,No,No,No,No,No,,Yes,Software,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,No,Yes,No,No,Yes,No,No,,Yes,I'm not familiar with CAF,,
