"Afghanistan";"Afghanistan";”Afghanistan”			
"Åland Islands";"Åland”;"Åland”			
"Albania";"Albanien";”Albanie”			
"Algeria";"Algerien";”Algérie”			
"American Samoa";"Amerikanisch-Samoa";”Samoa américaines”			
"Andorra";"Andorra";”Andorre”			
"Angola";"Angola";”Angola”			
"Anguilla";"Anguilla";”Anguilla”			
"Antarctica";"Antarktika";”Antarctique”			
"Antigua and Barbuda";"Antigua und Barbuda";” Antigua-et-Barbuda”			
"Argentina";"Argentinien";”Argentine”			
"Armenia";"Armenien";”Arménie”			
"Aruba";"Aruba";”Aruba”			
"Australia";"Australien";”Australie”			
"Austria";"Österreich";"Autriche"			
"Azerbaijan";"Aserbaidschan";”Azerbaïdjan”			
"Bahamas";"Bahamas";”Bahamas”			
"Bahrain";"Bahrain";”Bahreïn”			
"Bangladesh";"Bangladesch";”Bangladesh”			
"Barbados";"Barbados";”Barbade”			
"Belarus";"Belarus (Weißrussland)";” Biélorussie”			
"Belgium";"Belgien";”Belgique”			
"Belize";"Belize";”Belize”			
"Benin";"Benin";”Bénin”			
"Bermuda";"Bermuda";”Bermudes”			
"Bhutan";"Bhutan";”Bhoutan”			
"Bolivia, Plurinational State of";"Bolivien";” Bolivie"			
"Bonaire, Sint Eustatius and Saba";"Bonaire, Sint Eustatius und Saba (Niederlande)";”Bonaire”			
"Bosnia and Herzegovina";"Bosnien und Herzegowina";”Bosnie-Herzégovine”			
"Botswana";"Botswana";”Botswana”			
"Bouvet Island";"Bouvetinsel";”Île Bouvet”			
"Brazil";"Brasilien";”Brésil”			
"British Indian Ocean Territory";"Britisches Territorium im Indischen Ozean";”Territoire britannique de l'océan Indien”			
"British Virgin Islands";"Britische Jungferninseln";”Îles Vierges britanniques”			
"Brunei Darussalam";"Brunei Darussalam";” Brunei”			
"Bulgaria";"Bulgarien";”Bulgarie”			
"Burkina Faso";"Burkina Faso";”Burkina Faso”			
"Burundi";"Burundi";”Burundi”			
"Cambodia";"Kambodscha";”Cambodge”			
"Cameroon";"Kamerun";”Cameroun”			
"Canada";"Kanada";”Canada”			
"Cape Verde";"Kap Verde";”Cap-Vert”			
"Cayman Islands";"Kaimaninseln";”Îles Caïmans”			
"Central African Republic";"Zentralafrikanische Republik";”Centrafricaine, République”			
"Chad";"Tschad";”Tchad”			
"Chile";"Chile";”Chili”			
"China";"China, Volksrepublik";”Chine”			
"Christmas Island";"Weihnachtsinsel";”Île Christmas“			
"Cocos (Keeling) Islands";"Kokosinseln";” Îles Cocos”			
"Colombia";"Kolumbien";”Colombie”			
"Comoros";"Komoren";”Comores”			
"Congo";"Kongo, Republik (ehem. K.-Brazzaville)"			
"Congo, the Democratic Republic of the";"Kongo, Demokratische Republik (ehem. Zaire)";” République démocratique du Congo”			
"Cook Islands";"Cookinseln";”Îles Cook”			
"Costa Rica";"Costa Rica";”Costa Rica”			
"Croatia";"Kroatien";” Croatie”			
"Cuba";"Kuba";”Cuba”			
"Curaçao";"Curaçao";”Curaçao”			
"Czech Republic";"Tschechien";”République tchèque”			
"Denmark";"Dänemark";”Danemark”	"Ecuador";"Ecuador";”Équateur”	"El Salvador";"El Salvador";”Salvador”	"Eritrea";"Eritrea";”Érythrée”
"Djibouti";"Dschibuti";”Djibouti”			
"Dominica";"Dominica";”Dominique”			
"Dominican Republic";"Dominikanische Republik";”République dominicaine”			
"Egypt";"Ägypten";"Égypt"			
"Equatorial Guinea";"Äquatorialguinea";"Guinée Équatoriale"			
"Estonia";"Estland";”Estonie”			
"Ethiopia";"Äthiopien";"Éthiopie"			
"Falkland Islands (Malvinas)";"Falklandinseln";”îles Falkland”			
"Faroe Islands";"Färöer";”Îles Féroé”			
"Fiji";"Fidschi";”Fidji”			
"Finland";"Finnland";”Finlande”			
"France";"Frankreich";”France”			
"French Guiana";"Französisch-Guayana";”Guyane”			
"French Polynesia";"Französisch-Polynesien";” Polynésie française”			
"French Southern Territories";"Französische Süd- und Antarktisgebiete";” Terres australes et antarctiques françaises”			
"Gabon";"Gabun";”République gabonaise”			
"Gambia";"Gambia";”République de Gambie”			
"Georgia";"Georgien";”Géorgie”			
"Germany";"Deutschland";”Allemagne”			
"Ghana";"Ghana";”Ghana”			
"Gibraltar";"Gibraltar";”Gibraltar”			
"Greece";"Griechenland";”Grèce”			
"Greenland";"Grönland";”Groenland”			
"Grenada";"Grenada";”Grenade”			
"Guadeloupe";"Guadeloupe";”Guadeloupe”			
"Guam";"Guam";”Guam”			
"Guatemala";"Guatemala";”Guatémala”			
"Guernsey";"Guernsey (Kanalinsel)";”Guernesey”			
"Guinea-Bissau";"Guinea-Bissau";”Guinée-Bissau”			
"Guinea";"Guinea";”Guinée”			
"Guyana";"Guyana";”Guyana”			
"Haiti";"Haiti";”Haïti”			
"Heard Island and McDonald Islands";"Heard und McDonaldinseln";”Îles Heard-et-MacDonald”			
"Holy See (Vatican City State)";"Vatikanstadt";” Saint-Siège (État de la Cité du Vatican)”			
"Honduras";"Honduras";”Honduras”			
"Hong Kong";"Hongkong";”Hong Kong”			
"Hungary";"Ungarn";” Hongrie”			
"Iceland";"Island";”Islande”			
"India";"Indien";”Inde”			
"Indonesia";"Indonesien";”Indonésie”			
"Iran, Islamic Republic of";"Iran, Islamische Republik";”Iran”			
"Iraq";"Irak";”Irak”			
"Ireland";"Irland";”Irlande”			
"Isle of Man";"Insel Man";”Île de Man”			
"Israel";"Israel";”Israël”			
"Italy";"Italien";”Italie”			
"Ivory Coast";"Côte d’Ivoire (Elfenbeinküste)" Côte d'Ivoire”			
"Jamaica";"Jamaika";”Jamaïque”			
"Japan";"Japan";”Japon”			
"Jersey";"Jersey (Kanalinsel)";”Jersey”			
"Jordan";"Jordanien";”Jordanie”			
"Kazakhstan";"Kasachstan";”Kazakhstan”			
"Kenya";"Kenia";”Kenya”			
"Kiribati";"Kiribati";”Kiribati”			
"Korea, Democratic People's Republic of";"Korea, Demokratische Volksrepublik (Nordkorea)";” Corée du Nord”			
"Korea, Republic of";"Korea, Republik (Südkorea)";” Corée du Sud”			
"Kuwait";"Kuwait";”Koweït”			
"Kyrgyzstan";"Kirgisistan";”Kirghizistan”			
"Lao People's Democratic Republic";"Laos, Demokratische Volksrepublik";”Laos”			
"Latvia";"Lettland";”Lettonie”			
"Lebanon";"Libanon";”Liban”			
"Lesotho";"Lesotho";”Lesotho”			
"Liberia";"Liberia";”Liberia”			
"Libya";"Libyen";”Libye”			
"Liechtenstein";"Liechtenstein";”Liechtenstein”			
"Lithuania";"Litauen";”Lituanie”			
"Luxembourg";"Luxemburg";”Luxembourg”			
"Macao";"Macau";”Macao”			
"Macedonia, the Former Yugoslav Republic of";"Mazedonien";”Macédoine”			
"Madagascar";"Madagaskar";”Madagascar”			
"Malawi";"Malawi";”Malawi”			
"Malaysia";"Malaysia";”Malaisie”			
"Maldives";"Malediven";”Maldives”			
"Mali";"Mali";”Mali”			
"Malta";"Malta";”Malte”			
"Marshall Islands";"Marshallinseln";” Îles Marshall”			
"Martinique";"Martinique";”Martinique”			
"Mauritania";"Mauretanien";”Mauritanie”			
"Mauritius";"Mauritius";”Maurice”			
"Mayotte";"Mayotte";”Mayotte”			
"Mexico";"Mexiko";”Mexique”			
"Micronesia, Federated States of";"Mikronesien";”Micronésie”			
"Moldova, Republic of";"Moldawien (Republik Moldau)";"Moldavie”			
"Monaco";"Monaco";”Monaco”			
"Mongolia";"Mongolei";”Mongolie”			
"Montenegro";"Montenegro";”Monténégro”			
"Montserrat";"Montserrat";”Montserrat”			
"Morocco";"Marokko";”Maroc”			
"Mozambique";"Mosambik";”Mozambique”			
"Myanmar";"Myanmar (Burma)";”Birmanie”			
"Namibia";"Namibia";”Namibie”			
"Nauru";"Nauru";”Nauru”			
"Nepal";"Nepal";”Népal”			
"Netherlands";"Niederlande";”Pays-Bas”			
"New Caledonia";"Neukaledonien";”Nouvelle-Calédonie”			
"New Zealand";"Neuseeland";”Nouvelle-Zélande”			
"Nicaragua";"Nicaragua";”Nicaragua”			
"Nigeria";"Nigeria";”Nigeria”			
"Niger";"Niger";”Niger”			
"Niue";"Niue";”Niue”			
"Norfolk Island";"Norfolkinsel";”Île Norfolk”			
"Northern Mariana Islands";"Nördliche Marianen"; “Îles Mariannes du Nord”			
"Norway";"Norwegen";”Norvège”			
"Oman";"Oman";”Oman”			
"Pakistan";"Pakistan";”Pakistan”			
"Palau";"Palau";”Palaos”			
"Palestine, State of";"Staat Palästina";”Palestine”			
"Panama";"Panama";”Panama”			
"Papua New Guinea";"Papua-Neuguinea";” Papouasie-Nouvelle-Guinée”			
"Paraguay";"Paraguay"”Paraguay”			
"Peru";"Peru";”Pérou”			
"Philippines";"Philippinen";”Philippines”			
"Pitcairn";"Pitcairninseln";”Îles Pitcairn”			
"Poland";"Polen";”Pologne”			
"Portugal";"Portugal";”Portugal”			
"Puerto Rico";"Puerto Rico";”Porto Rico”			
"Qatar";"Katar";”Qatar”			
"Réunion";"Réunion";”La Réunion”			
"Romania";"Rumänien";”Roumanie”			
"Russian Federation";"Russische Föderation";” fédération de Russie”			
"Rwanda";"Ruanda";”Rwanda”			
"Saint Barthélemy";"Saint-Barthélemy";”Saint-Barthélemy”			
"Saint Helena, Ascension and Tristan da Cunha";"St. Helena";”Sainte-Hélène, Ascension et Tristan da Cunha”			
"Saint Kitts and Nevis";"St. Kitts und Nevis";”Saint-Christophe-et-Niévès”			
"Saint Lucia";"St. Lucia";”Sainte-Lucie”			
"Saint Martin (French part)";"Saint-Martin (franz. Teil)";”Saint-Martin (île)”			
"Saint Pierre and Miquelon";"Saint-Pierre und Miquelon";”Saint-Pierre-et-Miquelon”			
"Saint Vincent and the Grenadines";"St. Vincent und die Grenadinen";”Saint-Vincent-et-les-Grenadines”			
"Samoa";"Samoa";”Samoa”			
"San Marino";"San Marino";”Saint-Marin”			
"Sao Tome and Principe";"São Tomé und Príncipe";”Sao Tomé-et-Principe”			
"Saudi Arabia";"Saudi-Arabien";”Arabie saoudite”			
"Senegal";"Senegal";”Sénégal”			
"Serbia";"Serbien";”Serbie”			
"Seychelles";"Seychellen";”Seychelles”			
"Sierra Leone";"Sierra Leone";”Sierra Leone”			
"Singapore";"Singapur";”Singapour”			
"Sint Maarten (Dutch part)";"Sint Maarten (niederl. Teil)";”Saint-Martin”			
"Slovakia";"Slowakei";”Slovaquie”			
"Slovenia";"Slowenien";”Slovénie”			
"Solomon Islands";"Salomonen";”Îles Salomon”			
"Somalia";"Somalia";”Somalie”			
"South Africa";"Südafrika";”Afrique du Sud”			
"South Georgia and the South Sandwich Islands";"Südgeorgien und die Südlichen Sandwichinseln";”Géorgie du Sud-et-les îles Sandwich du Sud”			
"South Sudan";"Südsudan";”Soudan du Sud”			
"Spain";"Spanien";”Espagne”			
"Sri Lanka";"Sri Lanka";”Sri Lanka”			
"Sudan";"Sudan";”Soudan”			
"Suriname";"Suriname";”Suriname”			
"Svalbard and Jan Mayen";"Svalbard und Jan Mayen";”;”Svalbard”			
"Swaziland";"Swasiland";”Swaziland”			
"Sweden";"Schweden";”Suède”			
"Switzerland";"Schweiz (Confoederatio Helvetica)";”Suisse”			
"Syrian Arab Republic";"Syrien, Arabische Republik";”République arabe syrienne”			
"Taiwan, Republic of China";"Republik China (Taiwan)";”Taïwan”			
"Tajikistan";"Tadschikistan";”Tadjikistan”			
"Tanzania, United Republic of";"Tansania, Vereinigte Republik";” République unie de Tanzanie”			
"Thailand";"Thailand";”Thaïlande”			
"Timor-Leste";"Osttimor (Timor-Leste)";”Timor oriental”			
"Togo";"Togo";”Togo”			
"Tokelau";"Tokelau";”Tokelau”			
"Tonga";"Tonga";”Tonga”			
"Trinidad and Tobago";"Trinidad und Tobago";”Trinité-et-Tobago”			
"Tunisia";"Tunesien";”Tunisie”			
"Turkey";"Türkei";”Turquie”			
"Turkmenistan";"Turkmenistan";”Turkménistan”			
"Turks and Caicos Islands";"Turks- und Caicosinseln";”Îles Turques-et-Caïques”			
"Tuvalu";"Tuvalu";”Tuvalu”			
"Uganda";"Uganda";” Ouganda”			
"Ukraine";"Ukraine";” Ukraine”			
"United Arab Emirates";"Vereinigte Arabische Emirate";”Émirats Arabes Unis“			
"United Kingdom of Great Britain and Northern Ireland";"Vereinigtes Königreich Großbritannien und Nordirland";”Royaume-Uni de Grande-Bretagne et d'Irlande”			
"United States of America";"Vereinigte Staaten von Amerika";”États-Unis d'Amérique”			
"Uruguay";"Uruguay";”Uruguay”			
"U.S. Virgin Islands";"Amerikanische Jungferninseln";”Îles Vierges des États-Unis”			
"Uzbekistan";"Usbekistan";” Ouzbékistan”			
"Vanuatu";"Vanuatu";”Vanuatu”			
"Venezuela, Bolivarian Republic of";"Venezuela";“Venezuela”			
"Vietnam";"Vietnam";”Viêt Nam“			
"Wallis and Futuna";"Wallis und Futuna";”Wallis et Futuna”			
"Western Sahara";"Westsahara";”Sahara Occidental“			
"Yemen";"Jemen";”Yémen”			
"Zambia";"Sambia";”Zambie”			
"Zimbabwe";"Simbabwe";”Zimbabwe"
