"Abraham Geiger College";"Abraham-Geiger-Kolleg"
"University of Freiburg";"Albert-Ludwigs-Universität Freiburg"
"Schüttler Waske Tennis-University";"Alexander Waske Tennis-University"
"Alma Mater Viadrina";"Alma Mater Viadrina"
"Baltic University";"Baltische Universität"
"Bauhaus University";"Bauhaus-Universität Weimar"
"University of Wuppertal";"Bergische Universität Wuppertal"
"Berlin Graduate School for Transnational Studies";"Berlin Graduate School for Transnational Studies"
"Brandenburg University of Technology";"Brandenburgische Technische Universität"
"Brandenburg University of Technology Cottbus-Senftenberg";"Brandenburgische Technische Universität Cottbus-Senftenberg"
"University of Oldenburg";"Carl von Ossietzky Universität Oldenburg"
"Center for Integrated Protein Science Munich";"Center for Integrated Protein Science Munich"
"University of Kiel";"Christian-Albrechts-Universität zu Kiel"
"German Sport University Cologne";"Deutsche Sporthochschule Köln"
"German University of Administrative Sciences Speyer";"Deutsche Universität für Verwaltungswissenschaften Speyer"
"University of Flensburg";"Europa-Universität Flensburg"
"Viadrina European University";"Europa-Universität Viadrina"
"European Academy of Work";"Europäische Akademie der Arbeit"
"University of Applied Sciences Kaiserslautern";"Fachhochschule Kaiserslautern"
"FernUniversität Hagen";"Fernuniversität Hagen"
"German Academy of Film Arts";"Filmuniversität Babelsberg „Konrad Wolf“"
"Folkwang University of the Arts";"Folkwang Universität der Künste"
"Frankfurt School of Finance & Management";"Frankfurt School of Finance & Management"
"Free University of Berlin";"Freie Universität Berlin"
"University of Erlangen-Nuremberg";"Friedrich-Alexander-Universität Erlangen-Nürnberg"
"University of Jena";"Friedrich-Schiller-Universität Jena"
"Frederick William University";"Friedrich-Wilhelms-Universität zu Berlin"
"University of Göttingen";"Georg-August-Universität Göttingen"
"Gewerbeinstitut Berlin";"Gewerbeinstitut Berlin"
"Goethe University Frankfurt";"Goethe-Universität Frankfurt am Main"
"University of Hanover";"Gottfried Wilhelm Leibniz Universität Hannover"
"HafenCity University Hamburg";"HafenCity Universität Hamburg"
"University of Düsseldorf";"Heinrich-Heine-Universität Düsseldorf"
"Hertie School of Governance";"Hertie School of Governance"
"Hochschule Anhalt";"Hochschule Anhalt"
"Bonn-Rhein-Sieg University of Applied Sciences";"Hochschule Bonn-Rhein-Sieg"
"Fulda University of Applied Sciences";"Hochschule Fulda"
"Hochschule Harz";"Hochschule Harz"
"University of Applied Sciences Koblenz";"Hochschule Koblenz"
"Munich University of Applied Languages";"Hochschule für Angewandte Sprachen München"
"Dresden Academy of Fine Arts";"Hochschule für Bildende Künste Dresden"
"Ulm School of Design";"Hochschule für Gestaltung Ulm"
"University of the Arts Bremen";"Hochschule für Künste Bremen"
"Hochschule für Musik Freiburg";"Hochschule für Musik Freiburg"
"Frankfurt University of Music and Performing Arts";"Hochschule für Musik und Darstellende Kunst Frankfurt am Main"
"Hochschule für Musik und Theater München";"Hochschule für Musik und Theater München"
"Rostock University of Music and Theatre";"Hochschule für Musik und Theater Rostock"
"University of Music and Theatre Leipzig";"Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig"
"Coburg University of Applied Sciences";"Hochschule für angewandte Wissenschaften Coburg"
"Munich University of Applied Sciences";"Hochschule für angewandte Wissenschaften München"
"Hochschule für bildende Künste Hamburg";"Hochschule für bildende Künste Hamburg"
"Humboldt University of Berlin";"Humboldt-Universität zu Berlin"
"Institute for Information, Telecommunication and Media Law";"Institut für Informations-, Telekommunikations- und Medienrecht"
"Jacobs University Bremen";"Jacobs University Bremen"
"Jade University of Applied Sciences";"Jade Hochschule"
"University of Mainz";"Johannes Gutenberg-Universität Mainz"
"University of Würzburg";"Julius-Maximilians-Universität Würzburg"
"University of Giessen";"Justus-Liebig-Universität Gießen"
"Karlshochschule International University";"Karlshochschule International University"
"Karlsruhe Institute of Technology";"Karlsruher Institut für Technologie"
"Catholic University of Eichstätt-Ingolstadt";"Katholische Universität Eichstätt-Ingolstadt"
"University of Wittenberg";"Leucorea"
"Lüneburg University";"Leuphana Universität Lüneburg"
"Ludwig Maximilian University of Munich";"Ludwig-Maximilians-Universität München"
"University of Halle-Wittenberg";"Martin-Luther-Universität Halle-Wittenberg"
"Merz Akademie";"Merz Akademie"
"Ostfalia University of Applied Sciences";"Ostfalia Hochschule für angewandte Wissenschaften"
"University of Bamberg";"Otto-Friedrich-Universität Bamberg"
"University of Magdeburg";"Otto-von-Guericke-Universität Magdeburg"
"University of Marburg";"Philipps-Universität Marburg"
"Hanseatic University Rostock";"Private Hanseuniversität"
"RWTH Aachen University";"RWTH Aachen"
"University of Bonn";"Rheinische Friedrich-Wilhelms-Universität Bonn"
"Ruhr University Bochum";"Ruhr-Universität Bochum"
"Heidelberg University";"Ruprecht-Karls-Universität Heidelberg"
"SRH Hochschule Berlin";"SRH Hochschule Berlin"
"SRH Hochschule Heidelberg";"SRH Hochschule Heidelberg"
"Stuttgart Arts Academy";"Staatliche Akademie der Bildenden Künste Stuttgart"
"Steinbeis-Hochschule Berlin";"Steinbeis-Hochschule Berlin"
"University of Hildesheim";"Stiftungsuniversität Hildesheim"
"Freiberg University of Mining and Technology";"Technische Universität Bergakademie Freiberg"
"Technical University of Berlin";"Technische Universität Berlin"
"Chemnitz University of Technology";"Technische Universität Chemnitz"
"Clausthal University of Technology";"Technische Universität Clausthal"
"Technische Universität Darmstadt";"Technische Universität Darmstadt"
"TU Dortmund";"Technische Universität Dortmund"
"TU Dresden";"Technische Universität Dresden"
"TU Braunschweig";"Technische Universität Braunschweig"
"Ilmenau University of Technology";"Technische Universität Ilmenau"
"University of Kaiserslautern";"Technische Universität Kaiserslautern"
"Technical University of Munich";"Technische Universität München"
"Ukrainian Free University";"Ukrainische Freie Universität München"
"University of Altdorf";"Universität Altdorf"
"University of Augsburg";"Universität Augsburg"
"University of Bayreuth";"Universität Bayreuth"
"University of Berlin";"Universität Berlin"
"Bielefeld University";"Universität Bielefeld"
"University of Bremen";"Universität Bremen"
"Fredricks University of Bützow";"Universität Bützow"
"University of Duisburg-Essen";"Universität Duisburg-Essen"
"University of Erfurt";"Universität Erfurt"
"University of Fulda";"Universität Fulda"
"University of Greifswald";"Universität Greifswald"
"University of Hamburg";"Universität Hamburg"
"University of Helmstedt";"Universität Helmstedt"
"University of Hohenheim";"Universität Hohenheim"
"University of Ingolstadt";"Universität Ingolstadt"
"University of Kassel";"Universität Kassel"
"University of Koblenz and Landau";"Universität Koblenz-Landau"
"University of Konstanz";"Universität Konstanz"
"Leipzig University";"Universität Leipzig"
"University of Mannheim";"Universität Mannheim"
"University of Osnabrück";"Universität Osnabrück"
"University of Paderborn";"Universität Paderborn"
"University of Passau";"Universität Passau"
"University of Potsdam";"Universität Potsdam"
"University of Regensburg";"Universität Regensburg"
"University of Rinteln";"Universität Rinteln"
"University of Rostock";"Universität Rostock"
"University of Siegen";"Universität Siegen"
"University of Stuttgart";"Universität Stuttgart"
"University of Trier";"Universität Trier"
"University of Ulm";"Universität Ulm"
"University of Vechta";"Universität Vechta"
"Saarland University";"Universität des Saarlandes"
"University of Cologne";"Universität zu Köln"
"University of Lübeck";"Universität zu Lübeck"
"University of Münster";"Westfälische Wilhelms-Universität Münster"
"Willy Brandt School of Public Policy";"Willy Brandt School of Public Policy"
